product_name,brands,nutriscore_grade,nova_group,allergens,energy_kcal,fat_100g,saturated_fat_100g,carbs_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,contains_gluten,contains_dairy,contains_nuts,contains_soy,contains_eggs,contains_fish,category,subcategory
Tuc Original,"Mondelz, Tuc",C,4,"eggs, gluten, sulphites, sulphur-dioxide-and-sulphites",482.0,19.0,2.7,67.0,2.1,0.7,8.3,0.51,0.204,True,False,False,False,True,False,Snacks,Appetizers
An Ifrane,Ain,A,1,unknown,0.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.00075,0.0003,False,False,False,False,False,False,Beverages And Beverages Preparations,Waters
Vanillin Sugar,Ideal,E,2,unknown,392.0,0.0,0.0,97.6,89.4,0.6,0.0,0.0,0.0,False,False,False,False,False,False,Sweeteners,Vanillin Sugars
Nutella,"Ferrero, Nutella",E,4,"milk, nuts, soybeans",539.0,30.9,10.6,57.5,56.3,2.9,6.3,0.107,0.0428,False,True,True,True,False,False,Breakfasts,Sweet Spreads
Merendino,"Bimo,Mondelez",E,4,"eggs, gluten, milk, soybeans",410.0,20.0,12.0,55.0,39.0,1.8,4.0,0.51,0.204,True,True,False,True,True,False,Gateau Fourre Chocolat,Unknown
Crunchy Biscuits With A Creamy Nutella Center,"Nutella,Ferrero",E,4,"gluten, milk, nuts, soybeans",515.0,24.8,11.5,64.0,35.8,4.1,7.9,0.559,0.2236,True,True,True,True,False,False,Snacks,Biscuits And Cakes
Danone Assil Banane,Danone,C,0,milk,95.0,2.7,1.8,0.0,14.3,0.0,3.4,0.1,0.04,False,False,False,False,False,False,Dairies,Fermented Milk Products
Table Margarine,Lilia,D,4,milk,675.0,75.0,34.0,0.2,0.0,0.0,0.1,0.5,0.2,False,True,False,False,False,False,Plant Based Foods And Beverages,Plant Based Foods
Chocolat En Poudre,Poulain,E,4,"milk, soybeans",515.0,26.0,7.74,63.0,61.0,1.0,7.1,0.245,0.098,False,False,False,False,False,False,Beverages And Beverages Preparations,Cocoa And Its Products
Jebli,"Centrale, Danone, Jebli",D,4,milk,225.0,19.0,13.0,6.9,0.0,0.0,6.5,0.76,0.304,False,True,False,False,False,False,Dairies,Fermented Milk Products
El Baraka Confiture Dabricots G,El Baraka,D,4,unknown,244.0,0.0,0.0,60.5,50.0,0.0,0.44,0.25,0.1,False,False,False,False,False,False,Plant Based Foods And Beverages,Breakfasts
S Pellegrino Water,"Nestl,Nestl Waters,San Pellegrino",A,1,unknown,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,False,False,False,False,False,False,Beverages And Beverages Preparations,Carbonated Drinks
Nutella,"Ferrero,Nutellagg",E,4,"milk, nuts, soybeans",539.0,30.9,10.6,57.5,56.3,3.5,6.3,0.107,0.0428,False,True,True,True,False,False,Breakfasts,Sweet Spreads
Nescaf,Nescafe,UNKNOWN,0,unknown,40.0,0.2,0.0432,5.4,4.2,0.2,0.4,0.03,0.012,False,False,False,False,False,False,Beverages And Beverages Preparations,Instant Beverages
Sweet Organic Primrose Toast Cooking,Primrose,C,4,unknown,485.0,55.0,14.0,0.0,0.0,0.0,0.0,0.4,0.16,False,False,False,False,False,False,Plant Based Foods And Beverages,Fats
Vegan Bouillon Powder,Marigold,UNKNOWN,3,"celery, milk, nuts, soybeans",241.0,8.4,0.9,30.6,3.9,0.0,9.6,43.8,17.52,False,True,False,True,False,False,Plant Based Foods And Beverages,Dried Products
