AllergenTypeID,allergens
295,"amandes-amygdalus-communis-l, eggs, et-produits-a-base-de-ces-cereales, et-produits-a-base-de-ces-noix-macadamia-ternifolia, gluten, milk, noisettes-corylus-avellana, noix-de-pecan-et-produits-a-base-de-noix-de-pecan-carya-illinoiesis-wangenh-k-koch, nuts, pistaches-pistacia-vera, soybeans"
296,mycoprotein
297,not-indicated
298,"gluten, nuts, peanuts, sesame-seeds, soybeans"
299,"ble-avoine, gluten"
300,"gluten, nuts, sesame-seeds"
301,"metabisulfito-sódico, milk"
302,"avoine, gluten, milk, sesame-seeds"
303,"celery, nuts, peanuts"
304,"gluten, milk, mustard, soybeans"
305,"celeri, eggs, gluten, milk"
306,"mantequilla, milk"
307,"gluten, milk, mustard, nuts, peanuts, soybeans"
308,"eggs, gluten, milk, sesame-seeds, soybeans, triticale"
309,"eggs, gluten, nuts, peanuts"
310,"cereals-with-gluten, gluten, milk"
311,"banana, gluten, soybeans, sulphur-dioxide-and-sulphites"
312,"gluten, milk, nuts, soybeans, sulphites, sulphur-dioxide-and-sulphites"
313,"eggs, fish, gluten, milk, mustard, nuts, sesame-seeds, soybeans"
314,"avoine, gluten, nuts, sulphur-dioxide-and-sulphites"
315,"soybeans, sulphites"
316,"apple, nuts"
317,"creme-laitiere, eggs, gluten, milk"
318,"avoine, ble, eggs, gluten, gluten-de-ble, milk, orge, seigle, soybeans"
319,"butterfat, milk, soybeans"
320,"apple, sulphites"
321,"amandes, gluten, lait, laitier, milk, noisettes, nuts, orge, soybeans"
322,"crustaceans, cuisine-en-france, molluscs"
323,"frutos-de-casca-rija, leite, milk, soybeans"
324,"eggs, mustard, nuts"
325,"chicken, gluten, milk"
326,"milk, sulphites, sulphur-dioxide-and-sulphites"
327,"eggs, fish, mustard"
328,"eggs, gluten, milk, mustard, nuts, peanuts, sesame-seeds, soybeans"
329,"celery, crustaceans, eggs, gluten, milk, mustard, soybeans"
330,"eggs, fish, gluten, milk, mustard"
