FoodID,food_name
484,beans adzuki mature seed cooked boiled with salt
485,beans adzuki mature seeds canned sweetened
486,beans adzuki mature seeds cooked boiled without salt
487,beans adzuki mature seeds raw
488,beans baked canned no salt added
489,beans baked canned plain or vegetarian
490,beans baked canned with beef
491,beans baked canned with franks
492,beans baked canned with pork
493,beans baked canned with pork and sweet sauce
494,beans baked canned with pork and tomato sauce
495,beans baked home prepared
496,beans black turtle mature seeds canned
497,beans black turtle mature seeds cooked boiled with salt
498,beans black turtle mature seeds cooked boiled without salt
499,beans black turtle mature seeds raw
500,beans black canned sodium added drained and rinsed
501,beans black mature seeds canned low sodium
502,beans black mature seeds cooked boiled with salt
503,beans black mature seeds cooked boiled without salt
504,beans black mature seeds raw
505,beans cannellini canned sodium added drained and rinsed
506,beans cannellini dry
507,beans chili barbecue ranch style cooked
508,beans cranberry roman mature seeds canned
509,beans cranberry roman mature seeds cooked boiled with salt
510,beans cranberry roman mature seeds cooked boiled without salt
511,beans cranberry roman mature seeds raw
512,beans dry black 0 moisture
513,beans dry brown 0 moisture
514,beans dry carioca 0 moisture
515,beans dry cranberry 0 moisture
516,beans dry dark red kidney 0 moisture
517,beans dry flor de mayo 0 moisture
518,beans dry great northern 0 moisture
519,beans dry light red kidney 0 moisture
520,beans dry light tan 0 moisture
521,beans dry medium red 0 moisture
522,beans dry navy 0 moisture
523,beans dry pink 0 moisture
524,beans dry pinto 0 moisture
525,beans dry red 0 moisture
526,beans dry small red 0 moisture
527,beans dry small white 0 moisture
528,beans dry tan 0 moisture
529,beans fava in pod raw
530,beans french mature seeds cooked boiled with salt
531,beans french mature seeds cooked boiled without salt
532,beans french mature seeds raw
533,beans great northern canned sodium added drained and rinsed
534,beans great northern mature seeds canned
535,beans great northern mature seeds canned low sodium
536,beans great northern mature seeds cooked boiled with salt
537,beans great northern mature seeds cooked boiled without salt
538,beans great northern mature seeds raw includes foods for usdas food distribution program
539,beans kidney all types mature seeds canned
540,beans kidney all types mature seeds cooked boiled with salt
541,beans kidney all types mature seeds cooked boiled without salt
542,beans kidney all types mature seeds raw
543,beans kidney california red mature seeds cooked boiled with salt
544,beans kidney california red mature seeds cooked boiled without salt
545,beans kidney california red mature seeds raw
546,beans kidney dark red canned sodium added sugar added drained and rinsed
547,beans kidney light red canned sodium added sugar added drained and rinsed
548,beans kidney mature seeds sprouted cooked boiled drained with salt
549,beans kidney mature seeds sprouted cooked boiled drained without salt
550,beans kidney mature seeds sprouted raw
551,beans kidney red mature seeds canned drained solids
552,beans kidney red mature seeds canned drained solids rinsed in tap water
553,beans kidney red mature seeds canned solids and liquid low sodium
554,beans kidney red mature seeds canned solids and liquids
555,beans kidney red mature seeds cooked boiled with salt
556,beans kidney red mature seeds cooked boiled without salt
557,beans kidney red mature seeds raw
558,beans kidney royal red mature seeds cooked boiled with salt
559,beans kidney royal red mature seeds cooked boiled without salt
560,beans kidney royal red mature seeds raw
561,beans liquid from stewed kidney beans
562,beans mung mature seeds sprouted canned drained solids
563,beans navy canned sodium added drained and rinsed
564,beans navy mature seeds canned
565,beans navy mature seeds cooked boiled with salt
566,beans navy mature seeds cooked boiled without salt
567,beans navy mature seeds raw
568,beans navy mature seeds sprouted cooked boiled drained with salt
569,beans navy mature seeds sprouted cooked boiled drained without salt
570,beans navy mature seeds sprouted raw
571,beans pink mature seeds cooked boiled with salt
572,beans pink mature seeds cooked boiled without salt
573,beans pink mature seeds raw
574,beans pinto canned drained solids
575,beans pinto canned sodium added drained and rinsed
576,beans pinto immature seeds frozen cooked boiled drained with salt
577,beans pinto immature seeds frozen cooked boiled drained without salt
578,beans pinto immature seeds frozen unprepared
579,beans pinto mature seeds canned drained solids rinsed in tap water
580,beans pinto mature seeds canned solids and liquids
581,beans pinto mature seeds canned solids and liquids low sodium
582,beans pinto mature seeds cooked boiled with salt
583,beans pinto mature seeds cooked boiled without salt
584,beans pinto mature seeds raw includes foods for usdas food distribution program
585,beans pinto mature seeds sprouted cooked boiled drained with salt
586,beans pinto mature seeds sprouted cooked boiled drained without salt
587,beans pinto mature seeds sprouted raw
588,beans shellie canned solids and liquids
589,beans small white mature seeds cooked boiled with salt
590,beans small white mature seeds cooked boiled without salt
591,beans small white mature seeds raw
592,beans snap canned all styles seasoned solids and liquids
593,beans snap green canned no salt added drained solids
594,beans snap green canned no salt added solids and liquids
595,beans snap green canned regular pack drained solids
596,beans snap green canned regular pack solids and liquids
597,beans snap green cooked boiled drained with salt
598,beans snap green cooked boiled drained without salt
599,beans snap green frozen all styles microwaved
600,beans snap green frozen all styles unprepared includes foods for usdas food distribution program
601,beans snap green frozen cooked boiled drained without salt
602,beans snap green frozen cooked boiled drained with salt
603,beans snap green microwaved
604,beans snap green raw
605,beans snap yellow canned no salt added drained solids
606,beans snap yellow canned no salt added solids and liquids
607,beans snap yellow canned regular pack drained solids
608,beans snap yellow canned regular pack solids and liquids
609,beans snap yellow cooked boiled drained with salt
610,beans snap yellow cooked boiled drained without salt
611,beans snap yellow frozen all styles unprepared
612,beans snap yellow frozen cooked boiled drained with salt
613,beans snap yellow frozen cooked boiled drained without salt
614,beans snap yellow raw
615,beans white mature seeds canned
616,beans white mature seeds cooked boiled with salt
617,beans white mature seeds cooked boiled without salt
618,beans white mature seeds raw
619,beans yellow mature seeds cooked boiled with salt
620,beans yellow mature seeds cooked boiled without salt
621,beans yellow mature seeds raw
622,bear black meat alaska native
623,bear polar meat raw alaska native
624,beef composite separable lean only trimmed to 1 8 fat choice cooked
625,beef macaroni with tomato sauce frozen entree reduced fat
626,beef pot pie frozen entree prepared
627,beef stew canned entree
628,beef australian imported grass fed external fat raw
629,beef australian imported grass fed ground 85 lean 15 fat raw
630,beef australian imported grass fed loin tenderloin steak roast boneless separable lean and fat raw
631,beef australian imported grass fed loin tenderloin steak roast boneless separable lean only raw
632,beef australian imported grass fed loin top loin steak roast boneless separable lean and fat raw
633,beef australian imported grass fed loin top loin steak roast boneless separable lean only raw
634,beef australian imported grass fed loin top sirloin cap off steak roast boneless separable lean and fat raw
